cod_mod,anexo,pred_retiro_g1,prob_retiro_g1,pred_retiro_g2,prob_retiro_g2,pred_retiro_g3,prob_retiro_g3,pred_retiro_g4,prob_retiro_g4,pred_retiro_g5,prob_retiro_g5
581108,0,0.030942544146535716,0.5240985513421317,0.0,0.32201215744279527,0.0,0.37669559103515365,0.0,0.49544697281994127,0.08153693161577924,0.5299077077166806
1220862,0,0.0,0.2986839602721869,0.00762091050961673,0.7537933402311128,0.0,0.21201984455232603,0.0,0.2589108236655722,0.0,0.2243257667193401
1140920,0,0.0,0.41470245826855623,0.0,0.3319137943958706,0.0,0.42137083950986026,0.0,0.1324370711058417,0.0,0.12999434398364895
714394,0,0.035224823483844474,0.7302718652568987,0.03571234959513947,0.763609219592543,0.0,0.44538164228180444,0.0574658474144283,0.786260419810269,0.06098435811928531,0.8301572011879105
1142009,0,0.0,0.1970998636557896,0.0,0.4302569657582732,0.0,0.31459384136315155,0.0,0.25065383405940117,0.0,0.12297648463718766
752378,0,0.0,0.2758122517341074,0.0,0.09753859492335679,0.0,0.10474614013349771,0.0,0.2513946513673589,0.0,0.2869669803509234
1236975,0,0.0,0.045394807316786814,0.0,0.03324446188823073,0.0,0.19898740801141918,0.0,0.028548375611943778,0.0,0.08006530401265803
1237130,0,0.0,0.46022651568554124,0.0,0.1059655756757569,0.0,0.14820770281321785,0.0,0.39136260012501006,0.0,0.09263328008652591
1237619,0,0.0,0.36569030085348114,0.0,0.21542472226169604,0.0,0.20228445059174258,0.0,0.09902303883987257,0.0,0.16676921239391368
1426543,0,0.0,0.09563210200613576,0.0,0.20458894214837045,0.0,0.18523025819067834,0.0,0.4032797137305533,0.0,0.0848637763750527
1220904,0,0.0,0.39703337416316137,0.0,0.2921402030505769,0.0,0.34415712146131444,0.0,0.3421918635638211,0.0,0.15242479517899063
1426568,0,0.0,0.39006988860903596,0.0,0.13927021588757466,0.0,0.30249445946700015,0.0,0.24239059927386178,0.0,0.204097014153915
1426592,0,0.03341701326529337,0.5530253334541352,0.029858434920385542,0.6026933226843605,0.0,0.33339499854884425,0.0,0.17101703605085553,0.0,0.26082039792867845
1426873,0,0.0,0.16866326536603865,0.0,0.19831737114601883,0.0,0.20304369074202283,0.0,0.1462377506942915,0.0,0.22676345670001058
635334,0,0.037764125701665346,0.9343285867523308,0.02985586259696614,0.9039115421992033,0.03217339437101445,0.7073560025961837,0.04921837896693018,0.8261221059397701,0.026084614033493728,0.9149598402837458
758078,0,0.033723974869552635,0.688198930469877,0.01979256832366522,0.6735117979396089,0.04099377684689151,0.6306828047989331,0.039802135502358386,0.6551928561978833,0.0,0.4763034655718659
723825,0,0.0282253723127474,0.834483756912298,0.03052867172374117,0.726400997554721,0.034504398843881394,0.7679032739516596,0.052115513666630836,0.7816362294152819,0.04239935013732228,0.6674584408544114
394288,0,0.0,0.47660142914301806,0.0,0.43843945629357994,0.0,0.31430253399233143,0.022148352204218513,0.5284458929710487,0.0,0.41410250052974795
1170950,0,0.0,0.1802883146067882,0.0,0.2624705881228141,0.0,0.3807020628169141,0.0,0.26283801951749974,0.0,0.11579262215123355
1172154,0,0.0,0.425509340230877,0.0,0.33413131674117597,0.0,0.2976566018832037,0.0,0.28169910361782385,0.0,0.21403251883971772
1170521,0,0.0,0.23731092983695676,0.0,0.49956425978445684,0.0,0.3489572497140865,0.0,0.36587725329620424,0.0,0.17283707047815075
